model_name,label,time_ran,train_avg_accuracy,train_std_accuracy,validation_avg_accuracy,validation_std_accuracy,validation_avg_precision,validation_avg_recall,test_split_accuracy,test_split_positive_prediction_rate,test_split_true_up_rate,test_true_down,test_true_up,test_negative_down,test_negative_up,test_up_precision,test_up_recall,test_down_precision,test_down_recall,test_matthew_corr_coef,train_rows,train_cols,test_rows,test_cols,utility_score,w,parameters,mwfv_train_avg_accuracy,mwfv_train_std_accuracy,mwfv_test_avg_accuracy,mwfv_test_std_accuracy,clean_data__raw=,clean_data__extra_features=,clean_data__lag_period=,clean_data__lookback_period=,clean_data__sector=,clean_data__corr_threshold=,clean_data__corr_level=
LogisticRegression,LASSO(int.) Log. Reg.,2026-03-09 04:44:52,0.683,0.075,0.51,0.04,0.543,0.534,0.52,0.656,0.543,64,143,73,118,0.548,0.662,0.467,0.352,0.014,1591,183,398,183,-0.069,4,"C=1.0, l1_ratio=1",0.506,0.074,0.525,0.071,False,False,"[1, 2, 3]",21,True,0.9,2
LogisticRegression,Ridge(int.) Log. Reg.,2026-03-09 04:45:12,0.691,0.085,0.499,0.043,0.531,0.517,0.533,0.623,0.543,73,139,77,109,0.56,0.644,0.487,0.401,0.046,1591,183,398,183,0.0,4,"C=1.0, l1_ratio=0",0.506,0.073,0.503,0.071,False,False,"[1, 2, 3]",21,True,0.9,2
LogisticRegression,PCA Ridge(int.) Log. Reg.,2026-03-09 04:45:54,0.561,0.03,0.493,0.032,0.546,0.435,0.505,0.229,0.543,146,55,161,36,0.604,0.255,0.476,0.802,0.067,1591,183,398,183,0.03,4,"C=0.01, l1_ratio=0",0.484,0.08,0.497,0.055,False,False,"[1, 2, 3]",21,True,0.9,2
SVC,Linear Ker. SVM,2026-03-09 04:48:49,0.69,0.087,0.495,0.027,0.539,0.333,0.523,0.347,0.539,123,79,129,55,0.59,0.38,0.488,0.691,0.074,1542,91,386,91,0.055,4,"C=10, kernel=linear, gamma=scale",0.5,0.077,0.478,0.057,False,False,2,7,True,0.8,2
SVC,RBF Ker. SVM,2026-03-09 04:49:11,0.781,0.032,0.495,0.027,0.553,0.394,0.547,0.578,0.539,83,128,80,95,0.574,0.615,0.509,0.466,0.082,1542,91,386,91,0.117,4,"C=1, kernel=rbf, gamma=0.01",0.502,0.066,0.492,0.071,False,False,2,7,True,0.8,2
SVC,Poly. Ker. SVM,2026-03-09 04:49:33,1.0,0.0,0.515,0.011,0.561,0.499,0.508,0.497,0.539,91,105,103,87,0.547,0.505,0.469,0.511,0.016,1542,91,386,91,-0.051,4,"C=0.1, kernel=poly, gamma=1",0.513,0.08,0.517,0.096,False,False,2,7,True,0.8,2
RandomForestClassifier,Base RF,2026-03-09 04:51:14,0.708,0.043,0.524,0.028,0.576,0.503,0.5,0.324,0.539,123,70,138,55,0.56,0.337,0.471,0.691,0.029,1542,177,386,177,-0.067,4,"n_est=250, depth=2, feat=sqrt",0.505,0.08,0.467,0.104,False,True,2,7,True,0.95,2
RandomForestClassifier,PCA RF,2026-03-09 04:51:51,0.998,0.002,0.53,0.026,0.568,0.588,0.51,0.51,0.539,89,108,100,89,0.548,0.519,0.471,0.5,0.019,1542,177,386,177,-0.036,4,"n_est=250, depth=10, feat=sqrt",0.532,0.081,0.506,0.067,False,True,2,7,True,0.95,2
RandomForestClassifier,LASSO RF,2026-03-09 04:52:53,0.932,0.051,0.525,0.027,0.582,0.487,0.505,0.526,0.539,85,110,98,93,0.542,0.529,0.464,0.478,0.006,1542,177,386,177,-0.085,4,"n_est=500, depth=5, feat=sqrt",0.518,0.076,0.481,0.076,False,True,2,7,True,0.95,2
RandomForestClassifier,Ridge RF,2026-03-09 04:54:22,0.776,0.074,0.525,0.027,0.587,0.46,0.492,0.466,0.539,94,96,112,84,0.533,0.462,0.456,0.528,-0.01,1542,177,386,177,-0.137,4,"n_est=500, depth=3, feat=sqrt",0.517,0.076,0.478,0.068,False,True,2,7,True,0.95,2
RandomForestClassifier,Stepwise RF,2026-03-09 05:06:45,0.9,0.058,0.562,0.038,0.594,0.631,0.51,0.479,0.539,95,102,106,83,0.551,0.49,0.473,0.534,0.024,1542,19,386,19,-0.032,4,"n_est=500, depth=5, feat=sqrt",0.508,0.06,0.469,0.051,False,True,2,7,True,0.95,2
