model_name,label,time_ran,train_avg_accuracy,train_std_accuracy,validation_avg_accuracy,validation_std_accuracy,validation_avg_precision,validation_avg_recall,test_split_accuracy,test_split_positive_prediction_rate,test_split_true_up_rate,test_true_down,test_true_up,test_negative_down,test_negative_up,test_up_precision,test_up_recall,test_down_precision,test_down_recall,train_rows,train_cols,test_rows,test_cols,parameters,mwfv_avg_accuracy,mwfv_std_accuracy,clean_data__raw=,clean_data__extra_features=,clean_data__lag_period=,clean_data__lookback_period=,clean_data__cluster=,clean_data__n_clusters=,clean_data__sector=,clean_data__corr=,clean_data__corr_threshold=,clean_data__corr_level=,clean_data__testing=
RandomForestClassifier,Base RF,2026-03-07 00:15:51,1.0,0.0,0.495,0.033,0.545,0.646,0.56,0.74,0.52,15,41,11,33,0.554,0.788,0.577,0.312,396,185,100,185,"n_est=250, depth=10, feat=sqrt",0.475,0.061,False,False,"[1, 2, 3]",5,True,100,True,True,0.95,2,True
RandomForestClassifier,PCA RF,2026-03-07 00:16:29,1.0,0.0,0.519,0.024,0.549,0.792,0.51,0.47,0.52,26,25,27,22,0.532,0.481,0.491,0.542,396,185,100,185,"n_est=500, depth=5, feat=sqrt",0.471,0.062,False,False,"[1, 2, 3]",5,True,100,True,True,0.95,2,True
RandomForestClassifier,LASSO RF,2026-03-07 00:17:02,0.914,0.045,0.512,0.072,0.561,0.604,0.46,0.64,0.52,15,31,21,33,0.484,0.596,0.417,0.312,396,185,100,185,"n_est=500, depth=2, feat=sqrt",0.457,0.111,False,False,"[1, 2, 3]",5,True,100,True,True,0.95,2,True
RandomForestClassifier,Ridge RF,2026-03-07 00:18:00,1.0,0.0,0.495,0.036,0.542,0.654,0.46,0.6,0.52,17,29,23,31,0.483,0.558,0.425,0.354,396,185,100,185,"n_est=500, depth=10, feat=sqrt",0.493,0.093,False,False,"[1, 2, 3]",5,True,100,True,True,0.95,2,True
RandomForestClassifier,Stepwise RF,2026-03-07 00:20:21,0.985,0.021,0.657,0.038,0.672,0.742,0.51,0.49,0.52,25,26,26,23,0.531,0.5,0.49,0.521,396,18,100,18,"n_est=500, depth=5, feat=sqrt",0.457,0.055,False,False,"[1, 2, 3]",5,True,100,True,True,0.95,2,TrueSVC,Linear Ker. SVM,2026-03-07 00:23:13,0.706,0.055,0.489,0.013,0.536,0.254,0.524,0.394,0.541,118,92,125,66,0.582,0.424,0.486,0.641,1604,182,401,182,"C=0.05, kernel=linear, gamma=scale",0.482,0.073,False,False,"[1, 2, 3]",5,False,100,True,True,0.95,2,False
SVC,Linear Ker. SVM,2026-03-07 00:24:12,0.706,0.055,0.489,0.013,0.536,0.254,0.524,0.394,0.541,118,92,125,66,0.582,0.424,0.486,0.641,1604,182,401,182,"C=0.05, kernel=linear, gamma=scale",0.482,0.073,False,False,"[1, 2, 3]",5,False,100,True,True,0.95,2,False
SVC,RBF Ker. SVM,2026-03-07 00:24:23,0.807,0.047,0.503,0.024,0.549,0.424,0.514,0.484,0.541,98,108,109,86,0.557,0.498,0.473,0.533,1604,182,401,182,"C=1, kernel=rbf, gamma=scale",0.493,0.064,False,False,"[1, 2, 3]",5,False,100,True,True,0.95,2,False
SVC,Poly. Ker. SVM,2026-03-07 00:25:11,0.681,0.082,0.543,0.024,0.557,0.808,0.536,0.83,0.541,33,182,35,151,0.547,0.839,0.485,0.179,1604,182,401,182,"C=0.1, kernel=poly, gamma=0.01",0.513,0.09,False,False,"[1, 2, 3]",5,False,100,True,True,0.95,2,False
LogisticRegression,LASSO(int.) Log. Reg.,2026-03-07 00:25:33,0.705,0.089,0.495,0.032,0.536,0.494,0.521,0.546,0.541,87,122,95,97,0.557,0.562,0.478,0.473,1604,182,401,182,"C=10.0, l1_ratio=1",0.483,0.077,False,False,"[1, 2, 3]",5,False,100,True,True,0.95,2,False
LogisticRegression,Ridge(int.) Log. Reg.,2026-03-07 00:25:52,0.686,0.071,0.497,0.032,0.537,0.519,0.521,0.561,0.541,84,125,92,100,0.556,0.576,0.477,0.457,1604,182,401,182,"C=0.05, l1_ratio=0",0.486,0.079,False,False,"[1, 2, 3]",5,False,100,True,True,0.95,2,False
LogisticRegression,PCA Ridge(int.) Log. Reg.,2026-03-07 00:26:13,0.559,0.026,0.487,0.044,0.529,0.447,0.494,0.224,0.541,146,52,165,38,0.578,0.24,0.469,0.793,1604,182,401,182,"C=0.01, l1_ratio=0",0.479,0.077,False,False,"[1, 2, 3]",5,False,100,True,True,0.95,2,False
